"","season","name","team","school","jersey","position","offensive_snaps","offensive_grade","defensive_snaps","defensive_grade","st_snaps","st_grade"
"36",2020,"Cedric Frazier","campbell-fighting-camels","CAMPBELL","09","WR",152,53.3,NA,NA,1,NA
"37",2020,"Jaron Caldwell","unlv-rebels","UNLV","75","C",267,41,NA,NA,16,63.2
"38",2020,"Julio Garcia","unlv-rebels","UNLV","74","G",351,68.8,NA,NA,17,63.1
"39",2020,"Richard Burney","virginia-cavaliers","VIRGINIA","D16","DI",1,60,245,66.7,82,60.2
"40",2020,"Aubry Payne","georgia-state-panthers","GA STATE","88","TE",328,48.5,NA,NA,136,68.3
"41",2020,"D'Wayne Eskridge","western-michigan-broncos","W MICHIGAN","01","WR",277,84.4,NA,NA,41,60.8
"42",2020,"Wesley French","western-michigan-broncos","W MICHIGAN","66","C",307,57,NA,NA,NA,NA
"43",2020,"Cole Jacob","north-dakota-state-bison","N DAK ST","89","WR",16,59.6,NA,NA,28,78.7
"44",2020,"Karson Schoening","north-dakota-state-bison","N DAK ST","59","C",76,56.1,NA,NA,NA,NA
"45",2020,"Quinn Alo","north-dakota-state-bison","N DAK ST","69","G",2,60,NA,NA,7,60.4
"46",2020,"Zach Kubas","north-dakota-state-bison","N DAK ST","61","G",31,58,NA,NA,6,61.7
"47",2020,"Ross Kennelly","north-dakota-state-bison","N DAK ST","S41","LS",1,60,NA,NA,13,60.9
"48",2020,"Josh Howieson","north-dakota-state-bison","N DAK ST","58","T",2,60,NA,NA,5,60.6
"49",2020,"Dillon Radunz","north-dakota-state-bison","N DAK ST","75","T",77,87.3,NA,NA,6,61.1
"50",2020,"Adam Cofield","north-dakota-state-bison","N DAK ST","18","HB",41,55,NA,NA,NA,NA
"51",2020,"Cordell Volson","north-dakota-state-bison","N DAK ST","67","T",77,64.4,NA,NA,6,61.5
"52",2020,"Keith Williams","colorado-state-rams","COLO STATE","77","T",206,67.6,NA,NA,14,62.9
"53",2020,"Britain Covey","utah-utes","UTAH","18","WR",34,69.9,NA,NA,17,60.1
"54",2020,"Myron Cunningham","arkansas-razorbacks","ARKANSAS","76","T",644,65.9,NA,NA,46,64.8
"55",2020,"Toby Sanderson","central-arkansas-bears","CENT ARK","63","C",309,59.8,NA,NA,2,NA
"56",2020,"Isaac Smith","missouri-state-bears","MO STATE","89","TE",29,49.6,NA,NA,1,60
"57",2020,"Brock Nichols","usf-bulls","USF","D16","S",1,60,169,57.6,163,60.3
"58",2020,"Joshua Nix","central-arkansas-bears","CENT ARK","41","TE",46,43.3,NA,NA,11,61.6
"59",2020,"Breylin Smith","central-arkansas-bears","CENT ARK","03","QB",306,57,NA,NA,2,NA
"60",2020,"Jamal Jones","arkansas-state-red-wolves","ARK STATE","21","HB",414,71.8,NA,NA,31,66.2
"61",2020,"Shane Simpson","virginia-cavaliers","VIRGINIA","31","HB",178,66.1,NA,NA,NA,NA
"62",2020,"Reid Rials","troy-trojans","TROY","82","WR",29,60.1,NA,NA,114,71.3
"63",2020,"Charles Carter","missouri-state-bears","MO STATE","78","T",16,61.5,NA,NA,1,60
"64",2020,"Kierre Crossley","central-arkansas-bears","CENT ARK","21","HB",186,67.8,NA,NA,2,NA
"65",2020,"Jacob Harris","ucf-knights","UCF","87","WR",591,59.9,NA,NA,13,72.4
"66",2020,"Kameron Brown","coastal-carolina-chanticleers","COAST CAR","11","WR",330,64.8,NA,NA,8,60
"67",2020,"Zayne Anderson","byu-cougars","BYU","D23","S",1,60,360,60.8,100,71.9
"68",2020,"Dahu Green","arkansas-state-red-wolves","ARK STATE","04","WR",393,75.1,NA,NA,NA,NA
"69",2020,"John Petrishen","pittsburgh-panthers","PITTSBURGH","D00","LB",1,60,52,81.2,213,75.3
"70",2020,"Bradrick Shaw","california-golden-bears","CAL","09","HB",25,65,NA,NA,NA,NA
"71",2020,"Adam Prentice","south-carolina-gamecocks","S CAROLINA","46","TE",170,69.3,1,60.1,138,54.7
"72",2020,"Derek Smith","central-michigan-chippewas","C MICHIGAN","56","T",379,80.9,NA,NA,25,62.7
"73",2020,"Kyle Horn","arizona-state-sun-devils","ARIZONA ST","80","TE",30,54.2,NA,NA,11,60
"74",2020,"James Sosinski","kansas-jayhawks","KANSAS","82","TE",19,63.6,NA,NA,NA,NA
"75",2020,"Jovaun Woolford","rice-owls","RICE","70","T",281,56.7,NA,NA,23,63
"76",2020,"Josiah Bronson","washington-huskies","WASHINGTON","D11","DI",1,60,199,58.5,23,59.6
"77",2020,"Harrison Moon","chattanooga-mocs","CHATTNOOGA","75","T",67,65.5,NA,NA,2,60
"78",2020,"Cade Cote","arizona-state-sun-devils","ARIZONA ST","72","C",146,66.3,NA,NA,11,61.6
"79",2020,"Ean Pfeifer","louisville-cardinals","LOUISVILLE","14","TE",306,48.5,NA,NA,NA,NA
"80",2020,"Thad Mangum","usf-bulls","USF","D23","ED",1,60,504,65.6,70,56.5
"81",2020,"Bryce Harris","toledo-rockets","TOLEDO","72","C",391,68.5,NA,NA,26,63.8
"82",2020,"Tristen Hoge","byu-cougars","BYU","69","G",313,85.2,NA,NA,2,NA
"83",2020,"Noah Johnson","usf-bulls","USF","00","QB",165,63.7,NA,NA,1,NA
"84",2020,"Ross Bowers","northern-illinois-huskies","N ILLINOIS","12","QB",339,69.9,NA,NA,4,60
"85",2020,"Melquise Stovall","hawaii-warriors","HAWAII","03","WR",172,68.4,NA,NA,40,59
"86",2020,"Jarrid Williams","miami-fl-hurricanes","MIAMI FL","62","T",589,70.4,NA,NA,43,64.8
"87",2020,"Max Gilliam","unlv-rebels","UNLV","06","QB",270,70.7,NA,NA,1,NA
"88",2020,"Drew Kobayashi","alabama-crimson-tide","ALABAMA","85","WR",34,45.6,NA,NA,NA,NA
"89",2020,"Demetris Robertson","georgia-bulldogs","GEORGIA","16","WR",112,65.3,NA,NA,8,66.9
"90",2020,"Jake Curhan","california-golden-bears","CAL","71","T",142,61.7,NA,NA,5,61.6
"91",2020,"Jon Dietzen","wisconsin-badgers","WISCONSIN","67","G",270,76.8,NA,NA,7,61.5
"92",2020,"Taaga Tuulima","hawaii-warriors","HAWAII","63","C",526,62.8,NA,NA,32,61.4
"93",2020,"Zach Robertson","louisiana-ragin-cajuns","LA LAFAYET","51","T",337,60.1,NA,NA,3,60.3
"94",2020,"Daniel Imatorbhebhe","illinois-fighting-illini","ILLINOIS","88","TE",64,66.2,NA,NA,NA,NA
